time,ax,ay,az,atotal
0.000,0.27,-0.18,0.07,0.33
0.010,0.17,-0.09,0.04,0.19
0.020,0.07,-0.07,0.14,0.17
0.030,-0.01,-0.04,0.28,0.28
0.040,-0.01,-0.15,0.37,0.40
0.050,0.08,-0.20,0.38,0.43
0.060,0.17,-0.01,0.12,0.21
0.070,0.15,0.02,-0.16,0.22
0.080,0.11,-0.03,-0.32,0.34
0.090,0.08,-0.05,-0.34,0.36
0.100,0.08,-0.09,-0.27,0.29
0.109,-0.11,-0.08,-0.13,0.19
0.119,-0.12,-0.02,0.01,0.12
0.129,-0.02,-0.10,0.07,0.13
0.139,-0.03,-0.12,0.12,0.17
0.149,-0.07,0.04,0.30,0.31
0.159,0.10,0.06,0.31,0.33
0.169,0.16,-0.04,0.09,0.19
0.179,0.20,-0.02,0.00,0.20
0.189,0.18,0.02,-0.09,0.21
0.199,0.23,0.05,-0.20,0.31
0.209,0.25,0.01,-0.22,0.33
0.219,0.23,-0.05,-0.16,0.29
0.229,0.12,-0.05,-0.07,0.15
0.239,0.12,-0.03,-0.02,0.13
0.249,0.16,-0.10,-0.05,0.19
0.259,0.25,-0.09,-0.06,0.27
0.269,0.28,-0.07,-0.05,0.30
0.279,0.24,-0.06,-0.12,0.27
0.289,0.21,-0.04,-0.20,0.29
0.298,0.11,-0.02,-0.14,0.18
0.308,0.06,-0.00,-0.04,0.07
0.318,0.09,0.00,0.00,0.09
0.328,0.15,-0.03,-0.00,0.16
0.338,0.08,-0.14,-0.08,0.18
0.348,0.05,-0.24,-0.11,0.27
0.358,0.10,-0.28,-0.12,0.32
0.368,0.06,-0.32,-0.12,0.35
0.378,0.07,-0.33,-0.23,0.41
0.388,0.06,-0.32,-0.34,0.47
0.398,0.01,-0.27,-0.39,0.47
0.408,0.03,-0.20,-0.42,0.47
0.418,0.05,-0.11,-0.42,0.43
0.428,0.03,-0.08,-0.33,0.34
0.438,0.07,-0.11,-0.33,0.36
0.448,0.11,-0.19,-0.31,0.37
0.458,0.20,-0.43,-0.23,0.53
0.468,0.27,-0.67,-0.30,0.78
0.478,0.51,-0.83,-0.28,1.02
0.488,0.61,-1.05,-0.45,1.30
0.498,0.88,-1.21,-0.69,1.65
0.507,1.08,-1.33,-0.97,1.96
0.517,1.27,-1.44,-1.27,2.30
0.527,1.33,-1.45,-1.37,2.40
0.537,1.27,-1.44,-1.44,2.40
0.547,1.05,-1.64,-1.47,2.44
0.557,1.32,-1.64,-1.45,2.56
0.567,1.70,-1.34,-1.16,2.46
0.577,1.11,-1.02,-0.79,1.70
0.587,0.53,-0.90,-0.46,1.14
0.597,0.65,-0.80,-0.14,1.04
0.607,0.61,-0.73,-0.17,0.96
0.617,0.97,-0.95,-0.61,1.49
0.627,1.14,-1.17,-0.55,1.72
0.637,1.68,-0.96,-0.21,1.95
0.647,1.69,-0.34,0.14,1.73
0.657,0.46,-0.25,0.71,0.88
